"Plate Number Nat","Obuid","Plate","Tbaid","Activation sent (GMT +0)","Guid"
"IT","000490000055737","BV308CS","0781967864","11/09/2017 16:15:01","15051465018739162397893968982836952916"
"IT","000490000072827","EG771BD","0781966908","16/10/2017 14:51:23","15081654832154745228555728068741390263"
"IT","000490000080091","EG770BD","0781963855","17/10/2017 08:07:08","15082276289876543151047909716378535635"
"IT","000490000074363","DR281EZ","0781963848","21/10/2017 06:22:10","15085669304724475046523481502679498775"
"IT","000490000095182","FG971YJ","0781963764","21/10/2017 06:47:48","15085684684580180700156209604158304760"
"IT","000490000004526","FD959GR","0781967401","21/10/2017 07:18:38","15085703185500001580367697950959636366"
"IT","000490000083081","FC494WM","0781966882","21/10/2017 07:48:51","15085721311384181962771868735366892808"
"IT","000490000056812","EC611FN","0781966940","21/10/2017 08:20:02","15085740030420257390441432689035656529"
"IT","000490000034312","DR544FB","0781967278","21/10/2017 09:10:48","15085770489297938287908436667003779931"
"IT","000490000072737","FD950GR","0781965934","21/10/2017 09:39:20","15085787605522386825871576125515467573"
"IT","000490000056789","DR541FB","0781966981","21/10/2017 10:24:40","15085814803150837971308394877459845831"
"IT","000490000083009","FC492WM","0781966890","21/10/2017 10:49:10","15085829506965354444809108677131563942"
"IT","000490000003443","DR547FB","0781967369","21/10/2017 11:33:29","15085856099434936279006096931811447194"
"IT","000490000072766","DR551FB","0781966015","21/10/2017 12:12:24","15085879443222936981404676448582445709"
"IT","000490000052056","DR549FB","0781965983","21/10/2017 12:56:17","15085905772964775782826649300639857884"
"IT","000490000055699","EC612FN","0781967039","21/10/2017 14:09:16","15085949570154455525132333168266731878"
"IT","000490000074337","FG970YJ","0781963772","21/10/2017 14:42:23","15085969437775387304624139875604329875"
"IT","000490000087434","EC608FN","0781967328","21/10/2017 15:09:36","15085985765477946963013205613705124717"
"IT","000490000032528","FC499WM","0781967419","21/10/2017 15:43:48","15086006289184367086257202226712578467"
"IT","000490000025665","EC610FN","0781967443","21/10/2017 16:11:28","15086022886539731581803544254653108808"
"IT","000490000076392","EC609FN","0781965942","22/10/2017 06:33:13","15086539940066782386185985891414537629"
"IT","000490000088708","FC493WM","0781967385","22/10/2017 07:02:40","15086557603209191449069068202264571464"
"IT","000490000051831","DR540FB","0781967377","22/10/2017 07:36:39","15086578000515701867907812646369863361"
"IT","000490000006279","DR545FB","0781967310","22/10/2017 08:14:50","15086600904155248933776868710837365638"
"IT","000490000079654","DR550FB","0781965884","22/10/2017 08:53:42","15086624226601458008046875286579015679"
"IT","000490000097900","DM572GL","0781963723","24/10/2017 08:50:11","15088350112840410689583214384791512488"
"IT","000490000055871","EC638FN","0781967054","27/10/2017 12:38:01","15091078820303245160551317994084612508"
"IT","000490000088658","FD951GR","0781966957","27/10/2017 13:11:11","15091098713785799608815396687357273714"
"IT","000490000074394","FG967YJ","0781963715","27/10/2017 13:58:58","15091127389988651966520753302990937076"
"IT","000490000072832","FD954GR","0781966007","27/10/2017 14:34:15","15091148559475132895782290707480326462"
"IT","000490000079336","FG963YJ","0781965900","27/10/2017 14:47:15","15091156358382166860241955879647422000"
"IT","000490000093125","FG968YJ","0781963681","27/10/2017 15:28:47","15091181270879963855075765965979568341"
"IT","000490000089089","FG966YJ","0781967351","27/10/2017 15:51:26","15091194863688149011160257450916490064"
"IT","000490000055733","FD960GR","0781967294","27/10/2017 16:10:56","15091206569916131322060652690639587610"
"IT","000490000076354","FD957GR","0781965967","27/10/2017 16:47:06","15091228262209500419661577309287294004"
"IT","000490000074789","FG965YJ","0781963731","27/10/2017 17:03:03","15091237832483546972011416301777656737"
"IT","000490000056632","DR543FB","0781967013","28/10/2017 06:13:08","15091711889658325431950650629306365466"
"IT","000490000075432","FD953GR","0781965959","28/10/2017 06:37:41","15091726619277465069494426297738352099"
"IT","000490000071930","DR548FB","0781965918","28/10/2017 06:53:17","15091735973856225332082617924805454370"
"IT","000490000055561","FG991LD","0781967674","28/10/2017 07:28:31","15091757119159939639777703259246645853"
"IT","000490000081139","FG969YJ","0781963830","28/10/2017 07:28:55","15091757360027086848595472316898061993"
"IT","000490000076339","FD955GR","0781965991","28/10/2017 07:59:04","15091775449343378078277303335444929132"
"IT","000490000084174","FG980LD","0781966932","28/10/2017 08:01:33","15091776932314889200246349863357139384"
"IT","000490000089331","DR542FB","0781966973","28/10/2017 08:03:35","15091778155645036500796173153658921487"
"IT","000490000051780","FG996LD","0781967757","28/10/2017 08:40:13","15091800136948176329400199092534516290"
"IT","000490000053805","DR546FB","0781966999","28/10/2017 08:43:48","15091802290308162036667686445543118487"
"IT","000490000089270","FD952GR","0781967021","28/10/2017 09:11:18","15091818780715534114101739611521577934"
"IT","000490000003644","FC495WM","0781967450","28/10/2017 09:30:24","15091830247524858964960006869083980581"
"IT","000490000073826","FD958GR","0781965892","28/10/2017 09:56:29","15091845891479968679842343871577741236"
"IT","000490000003950","FD956GR","0781967393","28/10/2017 10:07:12","15091852324724103790973682244772363222"
"IT","000490000097259","FD961GR","0781963699","28/10/2017 10:24:05","15091862460248752572612812471818262143"
"IT","000490000074844","FD962GR","0781963814","28/10/2017 10:52:13","15091879337317498304699232849726295255"
"IT","000490000088539","FD931AE","0781967302","28/10/2017 10:55:08","15091881086565004073724309241628158536"
"IT","000490000004013","DR554FB","0781967468","28/10/2017 11:48:51","15091913317712408859491398546269880335"
"IT","000490000088641","EC639FN","0781967336","28/10/2017 12:05:31","15091923313979282974431782499906663466"
"IT","000490000054760","DN833BS","0781966916","28/10/2017 12:39:41","15091943817699113704097562027217267137"
"IT","000490000082656","DR280EZ","0781963780","28/10/2017 12:40:47","15091944475181564596991920657330939321"
"IT","000490000007651","FG964YJ","0781967427","28/10/2017 13:14:39","15091964799949058428312507626823228751"
"IT","000490000074239","FH855CZ","0781964499",,"15094489236209255534054669746927428905"
"IT","000490000074407","FG354AW","0781964614","31/10/2017 13:43:09","15094573897239745366569642989932524233"
"IT","000490000072871","FB093SB","0781964507","31/10/2017 14:22:05","15094597260101874261963844989376760430"
"IT","000490000082657","FG590ME","0781964648","31/10/2017 15:15:14","15094629141549762258253365439963696969"
"IT","000490000081063","FG591ME","0781964598","31/10/2017 16:18:42","15094667221651412487609527278713307297"
"IT","000490000082653","ET458BL","0781964622","31/10/2017 17:01:21","15094692819968630462350636777706995245"
"IT","000490000082355","FG711ME","0781964473","31/10/2017 17:39:17","15094715573361379073283083656234046133"
"IT","000490000081249","FG799ME","0781964515","31/10/2017 18:15:08","15094737089256075936976663444078246502"
"IT","000490000055881","DP739WF","0781967344","03/11/2017 08:42:31","15096985516222701920480702835057862209"
"IT","000490000063395","EH625BD","0781967286","03/11/2017 10:32:55","15097051755196801539687700478815591648"
"IT","000490000015481","FK768LT","0781963673","03/11/2017 15:42:35","15097237553808706537103207118579089575"
"IT","000490000097258","FK920LT","0781963707","03/11/2017 16:32:22","15097267421186366063809560582005097977"
"IT","000490000074617","FC490WM","0781963822","04/11/2017 07:02:27","15097789478575099299054662943146979721"
"IT","000490000056438","FC491WM","0781966965","04/11/2017 07:17:06","15097798265074705232495481607135079877"
"IT","000490000085764","FC498WM","0781966874","04/11/2017 07:40:14","15097812143869090582339609034848228436"
"IT","000490000004411","FC497WM","0781967435","04/11/2017 08:13:52","15097832322800376003442168830872294541"
"IT","000490000082413","FC496WM","0781963806","04/11/2017 08:53:15","15097855954691214741841907080932115931"
"IT","000490000075363","DM571GL","0781963798","04/11/2017 10:03:37","15097898172642565011385635571414211288"
"IT","000490000088921","FG890HB","0781966924","09/11/2017 14:56:11","15102393715155414399877397516927244067"
"IT","000490000072816","FC633GC","0781965926","10/11/2017 15:17:08","15103270289616929318954458620397733905"
"IT","000490000072851","FC633GC","0781965876","10/11/2017 16:46:30","15103323901219383728176914036232899290"
"IT","000490000084225","DC290KG","0781966718","11/11/2017 09:09:30","15103913709721868637122254390999817713"
"IT","000490000016724","FJ560CG","0781963624","11/11/2017 09:11:06","15103914668214376948238178921414867579"
"IT","000490000088699","ET854GC","0781966825","11/11/2017 09:25:04","15103923046812425232509744954041324318"
"IT","000490000095588","CF240HM","0781966445","11/11/2017 09:49:03","15103937436627349198413498734069229004"
"IT","000490000085772","FB778BT","0781966742","11/11/2017 10:50:31","15103974319148956106534153872298928851"
"IT","000490000095107","DN709BV","0781966403","11/11/2017 10:58:39","15103979198131906264341340638257255700"
"IT","000490000089201","FJ613HY","0781966775","11/11/2017 11:30:47","15103998471002449282303504807988457336"
"IT","000490000072658","FD181HA","0781966858","11/11/2017 11:42:03","15104005235233031884913008826307562196"
"IT","000490000071895","EZ757GX","0781966833","11/11/2017 11:47:54","15104008746727531100878864985791424209"
"IT","000490000015351","FJ559CG","0781963558","11/11/2017 12:49:46","15104045869487640073851860447623554080"
"IT","000490000084153","CY720WG","0781966395","11/11/2017 12:56:56","15104050170382548153521062880751956212"
"IT","000490000097830","FJ558CG","0781963632","11/11/2017 13:42:11","15104077316520866050853447678273886722"
"IT","000490000100382","ET350GC","0781963749","11/11/2017 15:03:12","15104125926262492549364030452894353779"
"IT","000490000094818","FF780XM","0781966270","11/11/2017 15:10:21","15104130219814770412255055450811949605"
"IT","000490000087735","DA349WT","0781966320","11/11/2017 15:11:38","15104130983877595129018826330679803681"
"IT","000490000097750","DS764FW","0781966460","11/11/2017 15:14:10","15104132506240254299448897204952785280"
"IT","000490000083010","FA066RX","0781966841","11/11/2017 16:13:28","15104168086270920074171799785008512944"
"IT","000490000005715","DP623GP","0781966353","11/11/2017 16:18:41","15104171211880648013074475193624530268"
"IT","000490000093726","DR909KZ","0781963574","17/11/2017 15:08:47","15109313275010589462085702081389304449"
"IT","000490000016485","EW415XG","0781972559","17/11/2017 16:38:24","15109367046517515866577085002328015186"
"IT","000490000076368","EM490WV","0781965082","17/11/2017 17:19:30","15109391703843978893294431843703807564"
"IT","000490000089367","FH745WP","0781966791","17/11/2017 18:06:10","15109419708691318582491761876386119785"
"IT","000490000095397","FF953JY","0781972633","17/11/2017 19:07:44","15109456646541057240428175599175289502"
"IT","000490000082978","FE697CK","0781966692","18/11/2017 08:46:11","15109947719583390880603147421921663899"
"IT","000490000004349","EL737HZ","0781966437","18/11/2017 09:37:04","15109978245978304566735652092846769950"
"IT","000490000086193","FC530GC","0781966676","18/11/2017 10:34:20","15110012607826672056122162985994581292"
"IT","000490000084295","FA102RX","0781966783","18/11/2017 10:42:41","15110017613418101838835958477404438696"
"IT","000490000095583","DY769BP","0781966346","18/11/2017 11:58:53","15110063334217813863778915437246575852"
"IT","000490000095135","DT202EH","0781966304","18/11/2017 12:06:03","15110067638898135936738544854353660433"
"IT","000490000056051","FG906VK","0781967088","18/11/2017 13:16:58","15110110188891939925568549062076867896"
"IT","000490000095138","ED296JA","0781966338","18/11/2017 13:28:07","15110116876578963284635791833085252249"
"IT","000490000097631","DB936FP","0781966296","18/11/2017 13:37:19","15110122399675409001459147309548184156"
"IT","000490000053932","FG904VK","0781967203","18/11/2017 13:38:10","15110122908817482484961510281531353627"
"IT","000490000055893","FG907VK","0781967195","18/11/2017 14:25:20","15110151205313745575166631720841241957"
"IT","000490000003127","DB939XJ","0781966288","18/11/2017 14:30:39","15110154396495896021244835213041603724"
"IT","000490000097592","DM716KV","0781966429","18/11/2017 14:42:59","15110161797444217060268093032785022750"
"IT","000490000088491","EZ980HP","0781966684","18/11/2017 15:12:22","15110179422355282994923666778394074845"
"IT","000490000055949","FK070TM","0781967112","18/11/2017 15:35:56","15110193563124918592021644497511110891"
"IT","000490000056801","FK071TM","0781967070","18/11/2017 15:46:19","15110199797256820407219268891710245347"
"IT","000490000056647","EK337JS","0781967260","18/11/2017 16:04:54","15110210947996378095456252857305265018"
"IT","000490000016370","ES916CP","0781972591","20/11/2017 08:34:00","15111668400940189029719510925496325784"
"IT","000490000099429","FB867TP","0781963509","20/11/2017 09:47:55","15111712757117736481005904359955132483"
"IT","000490000089599","EW179XG","0781972526","20/11/2017 10:32:01","15111739215577394934067966947515567602"
"IT","000490000068260","EF767AY","0781963491","20/11/2017 11:32:34","15111775546062407356486815953853794230"
"IT","000490000002464","FH746WP","0781966726","20/11/2017 12:43:08","15111817890403505609214333916487690041"
"IT","000490000092991","EZ237SZ","0781963608","20/11/2017 13:24:51","15111842912729901511032151396441444219"
"IT","000490000074627","EY924HY","0781963756","22/11/2017 10:35:30","15113469309595954912814184658177358379"
"IT","000490000093153","FC220DS","0781963657","22/11/2017 11:20:49","15113496490488201234004954884876601562"
"IT","000490000100846","FC221DS","0781963525","22/11/2017 13:45:18","15113583184952345650913963319493014529"
"IT","000490000093088","FC027DS","0781963582","22/11/2017 14:44:02","15113618423457695271056016368889169883"
"IT","000490000074349","FC026DS","0781963863","22/11/2017 14:44:56","15113618962791032689932813366541031887"
"IT","000490000034976","DR552FB","0781967005","22/11/2017 15:09:15","15113633556714009560667267649150581046"
"IT","000490000072814","FG921YY","0781965447","25/11/2017 09:38:27","15116027073048703135012160103965516523"
"IT","000490000072849","EW560LN","0781965421","25/11/2017 10:43:04","15116065847050268870791190653573951780"
"IT","000490000074644","CX301JY","0781965298","25/11/2017 11:45:19","15116103193850350506694482562879526126"
"IT","000490000074537","FH803WP","0781965207","27/11/2017 09:22:54","15117745748292254556168146618823421789"
"IT","000490000003652","FH802WP","0781966700","27/11/2017 10:22:36","15117781567492612658168888071078766019"
"IT","000490000093162","DB825TW","0781963533","27/11/2017 11:14:14","15117812549456905111451959921790511850"
"IT","000490000099952","EF768AY","0781963541","27/11/2017 12:03:27","15117842075250502587996287455280974413"
"IT","000490000095225","FA177FA","0781963665","27/11/2017 15:22:03","15117961238187804879849885218018824777"
"IT","000490000011106","ES915CP","0781972641","27/11/2017 16:16:37","15117993979900343676508824183172186921"
"IT","000490000096267","EK247KY","0781972583","27/11/2017 17:04:44","15118022850100620695185124280081066403"
"IT","000490000078384","DP257JL","0781965405","29/11/2017 16:06:36","15119715967127108010292516951713143620"
"IT","000490000078234","FC808CB","0781965199","30/11/2017 15:53:17","15120571977576094514385471784257297633"
"IT","000490000097720","EJ815NS","0781966452","02/12/2017 09:00:54","15122052545440696350342026014069554632"
"IT","000490000087758","EM312TJ","0781966379","02/12/2017 09:03:18","15122053980911506002089353283462824446"
"IT","000490000097754","CH443WD","0781966411","02/12/2017 11:18:02","15122134826268040675023037789803283525"
"IT","000490000083001","DL462SM","0781966312","02/12/2017 11:22:53","15122137733411352811782346795241672237"
"IT","000490000094748","ET146GC","0781966361","02/12/2017 13:22:22","15122209425331664631062022506237669608"
"IT","000490000097742","EJ705DY","0781966387","02/12/2017 13:26:46","15122212061707248995433660181000523042"
"IT","000490000074959","DK974FS","0781965165","03/12/2017 08:00:31","15122880314152307475087943175842126915"
"IT","000490000073570","EW449CY","0781965074","03/12/2017 09:16:43","15122926032439355128716978202718999784"
"IT","000490000074541","FF989ZZ","0781965223","03/12/2017 10:17:28","15122962481749486224081802451432196815"
"IT","000490000073746","DK945FS","0781965140","03/12/2017 10:54:21","15122984612142299605378178890847758389"
"IT","000490000072806","DK971FS","0781965256","03/12/2017 11:28:41","15123005217092695421428348430721725091"
"IT","000490000075378","DV911DG","0781965181","03/12/2017 12:03:09","15123025899773059261135414738319919396"
"IT","000490000075398","CL979FY","0781965157","03/12/2017 12:47:35","15123052551714745402542979254042092422"
"IT","000490000017472","FF954JY","0781963483","03/12/2017 15:06:43","15123136034413835269088018026828006219"
"IT","000490000093124","FB996TP","0781963517","03/12/2017 16:03:15","15123169957658292680673384295589617515"
"IT","000490000095117","EV085YZ","0781972492","03/12/2017 17:03:34","15123206149783317986979424825146901428"
"IT","000490000086440","A95","0781986252","07/12/2017 17:12:47","15126667677833950488359552539448791253"
"IT","000490000085766","CL886MY","0781966767","09/12/2017 08:13:39","15128072192343995825916407559483232260"
"IT","000490000082390","CX961NP","0781964382","09/12/2017 08:53:46","15128096265018999283893738126561868665"
"IT","000490000075154","EA179KD","0781964424","09/12/2017 09:35:36","15128121364024193633297358204821199026"
"IT","000490000092423","DL143FA","0781972518","09/12/2017 10:13:44","15128144244259988428347977555778728953"
"IT","000490000072326","EK268KY","0781964408","09/12/2017 10:55:54","15128169547550897157090824630962251394"
"IT","000490000081842","FH018WP","0781964341","09/12/2017 11:38:34","15128195147106872490827298275917914928"
"IT","000490000075412","ES892AV","0781964390","09/12/2017 12:17:56","15128218764765180355994451096742047312"
"IT","000490000081030","CL601MX","0781964416","09/12/2017 12:28:04","15128224850139640352577977109428590106"
"IT","000490000015171","FH779WP","0781972542","09/12/2017 13:30:36","15128262362454815483445155022904425087"
"IT","000490000071879","CT445BV","0781964309","09/12/2017 13:53:17","15128275973436679285524660462242109489"
"IT","000490000076217","AT080DD","0781965090","09/12/2017 14:04:17","15128282577625618724217300741731850152"
"IT","000490000074819","CH661KP","0781964275","09/12/2017 14:33:01","15128299816277466701267552267718413532"
"IT","000490000072818","FE978RZ","0781964333","09/12/2017 15:06:46","15128320067955466370350215070735530199"
"IT","000490000082658","BC535TJ","0781964325","09/12/2017 15:37:36","15128338567496397349676222104410664787"
"IT","000490000084163","CE300AN","0781966759","09/12/2017 15:57:00","15128350204417218052124189790745489822"
"IT","000490000085533","FF987VP","0781966502","16/12/2017 08:16:29","15134121893266067691614668381703461054"
"IT","000490000073864","DT214MB","0781965249","16/12/2017 08:32:04","15134131245464945884752068711144915959"
"IT","000490000005557","BZ688YK","0781966627","16/12/2017 09:02:47","15134149673819137892105071080179968447"
"IT","000490000095593","CM975XM","0781966544","16/12/2017 09:52:40","15134179601340436982049829104018774069"
"IT","000490000072767","FJ950ZM","0781965439","16/12/2017 09:54:52","15134180927535975570602212546466869935"
"IT","000490000073382","FG977SN","0781965363","16/12/2017 10:10:30","15134190300513807812317789827534200882"
"IT","000490000096320","EY912HY","0781972476","16/12/2017 10:22:54","15134197745370265757159520920565384904"
"IT","000490000073888","BK940ZK","0781965124","16/12/2017 10:41:14","15134208742179149911842821343669923169"
"IT","000490000085758","EM581RM","0781966478","16/12/2017 11:06:03","15134223639357634098978245513068142653"
"IT","000490000074469","CK170WC","0781965454","16/12/2017 11:12:50","15134227707363576054863489933070253468"
"IT","000490000074479","FC121AZ","0781965116","16/12/2017 11:49:33","15134249739259271840079514238596360095"
"IT","000490000071820","BR794HE","0781965330","16/12/2017 12:16:30","15134265907877244901484097949159130677"
"IT","000490000003751","CG699GK","0781966635","16/12/2017 12:49:37","15134285774285343185038468369860503914"
"IT","000490000094225","CY402WG","0781972567","16/12/2017 13:14:47","15134300876042883900564522143105135775"
"IT","000490000015044","FK764CV","0781963335","16/12/2017 14:31:51","15134347111644920355718899198656255602"
"IT","000490000097735","BZ880YF","0781966510","16/12/2017 14:57:34","15134362543580913920521768297710266158"
"IT","000490000034401","FL794BJ","0781985783","22/12/2017 14:16:12","15139521729309585949249933137862611849"
"IT","000490000081494","FM930CF","0781985668","22/12/2017 14:46:13","15139539738591349380786624381890057646"
"IT","000490000090189","DY770WL","0781985775","22/12/2017 15:11:53","15139555136200755040682797322255297932"
"IT","000490000071597","CC979NL","0781965322","22/12/2017 16:03:44","15139586246479714849068393158427554910"
"IT","000490000091310","EW632KB","0781972500","23/12/2017 08:08:12","15140164927991792100048783783628816827"
"IT","000490000072845","EK253CD","0781965462","23/12/2017 09:01:45","15140197053406038362354822249523138529"
"IT","000490000099935","CM976XM","0781963392","23/12/2017 12:25:19","15140319196540046544102948447767303138"
"IT","000490000093059","DT110SA","0781972302","23/12/2017 12:40:10","15140328107060461542984399375002433217"
"IT","000490000085728","EB409VS","0781966593","23/12/2017 13:10:01","15140346019528778561918118784244526333"
"IT","000490000083014","DL708GH","0781966486","23/12/2017 13:50:56","15140370563118089290698787494881307466"
"IT","000490000095039","DR622BL","0781972310","23/12/2017 14:39:18","15140399585263948033262065125228739322"
"IT","000490000071464","DY746SE","0781965348","23/12/2017 17:11:39","15140490994899835957594473520310151451"
"IT","000490000071899","CY520XB","0781965413","27/12/2017 11:10:44","15143730450665156935298322832175094926"
"IT","000490000084306","EL215FH","0781966734","30/12/2017 08:09:46","15146213870191702790534264273866439675"
"IT","000490000072619","EM688JL","0781964465","30/12/2017 08:14:07","15146216480289378841353444305194553591"
"IT","000490000082250","EM688JL","0781964457","30/12/2017 08:23:02","15146221826505530224021853813848765684"
"IT","000490000086431","CS310BF","0781985791","02/01/2018 09:22:06","15148849265181628850318231569099143415"
"IT","000490000097824","FD872DA","0781963467","02/01/2018 10:27:16","15148888361921720566636915256617749987"
"IT","000490000072620","DG970EW","0781965306","02/01/2018 15:37:01","15149074217256452031373489857058698922"
"IT","000490000082372","EZ025BX","0781964432","03/01/2018 06:43:05","15149617852575206258226579883878259642"
"IT","000490000080116","EZ025BX","0781964366","03/01/2018 09:35:22","15149721223712117383862766849299210814"
"IT","000490000074288","FD124EL","0781964317","03/01/2018 09:36:26","15149721866558079861651562747433486326"
"IT","000490000082620","FH984NX","0781964291","03/01/2018 09:37:06","15149722267752773301071143416059600548"
"IT","000490000072830","FH935LN","0781963947","08/01/2018 09:00:08","15154020090052555386073004466828034664"
"IT","000490000081073","FH786LN","0781964051","08/01/2018 09:17:29","15154030494571809318652355017005984375"
"IT","000490000074704","EY303PF","0781964028","08/01/2018 09:40:38","15154044384372210861936288887853753496"
"IT","000490000074611","EM485XF","0781964010","08/01/2018 10:01:19","15154056795868460096056709486128680908"
"IT","000490000082960","FD967GD","0781966650","11/01/2018 09:08:13","15156616931608578744895722256305655013"
"IT","000490000086989","FB524LG","0781985601","11/01/2018 10:21:39","15156660992073465454680794078513311127"
"IT","000490000078989","CW211GL","0781964572","2018011065201","15160027972912817945319363007662582168"
"IT","000490000081888","DD823GX","0781964531","2018011065315","15160028443005244919270369974630832110"
"IT","000490000074408","EG709GP","0781964606","2018011065422","15160028843175209647452725819489304995"
"IT","000490000074376","FL195PA","0781964549","2018011065517","15160029176195140922383286416565639542"
"IT","000490000072659","EG058GP","0781964630","2018011065631","15160029848065971691121703298931258657"
"IT","000490000096015","ED055ZZ","0781985700","19/01/2018 18:28:01","15163864817955727536560307805683065642"
"IT","000490000095175","ES372HD","0781963293","19/01/2018 19:08:25","15163889051729170931379470584590275246"
"IT","000490000055732","B89LYE","0781967245","24/01/2018 14:09:28","15168029687674303236590793591839857992"
"IT","000490000039518","B89LXX","0781967153","24/01/2018 15:07:39","15168064592399698423876034450019931694"
"IT","000490000056806","FM905SG","0781967237","24/01/2018 16:43:04","15168121841841005128451935046961878824"
"IT","000490000055885","FM904SG","0781967211","24/01/2018 17:33:23","15168152036665204237097582976567596364"
"IT","000490000016826","FD948MF","0781963327","26/01/2018 10:55:58","15169641582274324509589214572736316091"
"IT","000490000071594","DR661TL","0781963913","26/01/2018 11:23:56","15169658363267068609727990489912227586"
"IT","000490000074600","EK290GB","0781964820","26/01/2018 11:49:20","15169673606620140034119172340895514522"
"IT","000490000081872","CW856ZV","0781964036","26/01/2018 11:54:39","15169676795721310835582070664417796236"
"IT","000490000082551","FC253DS","0781964085","26/01/2018 12:22:16","15169693368607401145009766040239995378"
"IT","000490000074318","CY708VY","0781964044","26/01/2018 12:40:00","15169704004403453796732860467722465801"
"IT","000490000081254","FC280DS","0781963889","26/01/2018 12:49:59","15169710000179879181519878505176762622"
"IT","000490000074518","FC288DS","0781963962","26/01/2018 13:11:45","15169723056839055156913379414113999702"
"IT","000490000074370","BR830ME","0781963897","26/01/2018 13:24:34","15169730750112740701402417805672458120"
"IT","000490000081029","CN731KY","0781963871","26/01/2018 13:40:08","15169740082669302955443736951904588014"
"IT","000490000074356","CN145GD","0781964671","26/01/2018 13:50:39","15169746397210868291947915404513168462"
"IT","000490000074825","DD791TR","0781964812","26/01/2018 14:11:20","15169758808978688088085895506216543886"
"IT","000490000082661","BT636KK","0781963905","26/01/2018 14:34:45","15169772857697520207567078423576890716"
"IT","000490000074366","DH162MH","0781964770","26/01/2018 14:55:35","15169785352188060442721421691152928543"
"IT","000490000074618","CB791DT","0781964093","26/01/2018 14:55:36","15169785368795236658072282974650188309"
"IT","000490000081834","DX949WK","0781963988","26/01/2018 15:03:40","15169790204749875078643870018038013553"
"IT","000490000072862","DZ468JW","0781964804","26/01/2018 15:46:10","15169815705429833983539075150316428787"
"IT","000490000075656","DZ873JW","0781963970","26/01/2018 16:10:18","15169830181745926083969708942413676347"
"IT","000490000074322","DZ675JW","0781963921","26/01/2018 16:17:14","15169834348560973425296072009610503045"
"IT","000490000025150","FG715BG","0781972864","26/01/2018 16:21:39","15169836998116761917646643275235694869"
